"","team_name","name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3720","Golden State Warriors","Graymond Green","12/8/16",2016,1,5,32,"shot_yes","Jump Shot","3PT Field Goal",24,"Utah Jazz",-112,214,7
"3721","Golden State Warriors","Graymond Green","12/8/16",2016,3,11,36,"shot_no","Jump Shot","3PT Field Goal",25,"Utah Jazz",37,249,25
"3722","Golden State Warriors","Graymond Green","12/7/16",2016,2,7,0,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",20,264,17
"3723","Golden State Warriors","Graymond Green","12/7/16",2016,2,0,3,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",195,180,24
"3724","Golden State Warriors","Graymond Green","12/7/16",2016,4,5,19,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-9,269,43
"3725","Golden State Warriors","Graymond Green","12/7/16",2016,1,2,38,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",28,262,10
"3726","Golden State Warriors","Graymond Green","12/7/16",2016,2,0,47,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-14,262,24
"3727","Golden State Warriors","Graymond Green","12/5/16",2016,1,4,45,"shot_no","Jump Shot","3PT Field Goal",25,"Indiana Pacers",117,223,8
"3728","Golden State Warriors","Graymond Green","12/3/16",2016,2,0,45,"shot_no","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-142,223,24
"3729","Golden State Warriors","Graymond Green","12/3/16",2016,3,1,17,"shot_no","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-207,170,35
"3730","Golden State Warriors","Graymond Green","12/3/16",2016,1,3,19,"shot_no","Jump Shot","2PT Field Goal",3,"Phoenix Suns",10,31,9
"3731","Golden State Warriors","Graymond Green","12/1/16",2016,3,9,3,"shot_no","Jump Shot","2PT Field Goal",4,"Houston Rockets",-14,46,27
"3732","Golden State Warriors","Graymond Green","12/1/16",2016,3,2,41,"shot_no","Jump Shot","2PT Field Goal",5,"Houston Rockets",-52,21,34
"3733","Golden State Warriors","Graymond Green","12/1/16",2016,2,2,36,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",-35,252,22
"3734","Golden State Warriors","Graymond Green","12/1/16",2016,1,6,52,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",66,234,6
"3735","Golden State Warriors","Graymond Green","11/28/16",2016,1,7,45,"shot_no","Jump Shot","2PT Field Goal",12,"Atlanta Hawks",-125,26,5
"3736","Golden State Warriors","Graymond Green","11/28/16",2016,3,10,17,"shot_yes","Jump Shot","2PT Field Goal",18,"Atlanta Hawks",-137,129,26
